hashtag,translation
#ukraine,Ukraine
#putin,Putin
#russland,Russia
#verkehrswende,mobility transition
#gas,gas
#energiepreise,energy prices
#erdgasfasten,natural gas abstinence
#energieversorgung,energy supply
#energiekrise,energy crisis
#bundeswehr,German military
#kohle,coal
#katar,Qatar
#erdgas,natural gas
#tempolimit,speed limit
#energiesparen,saving energy
#spritpreise,petrol prices
#freiheitsenergie,freedom energy
#atomkraftwerke,nuclear power plants
#energiesicherheit,energy security
#zeitenwende,turning point
